City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,New Norfolk,AU,55.71,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
1,Kutum,SD,63.63,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
2,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
4,Sao Joao Da Barra,BR,80.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
5,Alofi,NU,75.09,light intensity shower rain,-19.0595,-169.9187,Taloa Heights
8,Teahupoo,PF,78.76,clear sky,-17.8333,-149.2667,Vanira Lodge
10,Payakumbuh,ID,69.91,overcast clouds,-0.2202,100.6308,Dalimo Homestay
13,Avera,US,80.44,clear sky,33.194,-82.5271,
14,Arraial Do Cabo,BR,82.26,thunderstorm,-22.9661,-42.0278,Pousada Porto Praia
15,Taoudenni,ML,84.15,overcast clouds,22.6783,-3.9836,
19,Kapaa,US,76.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
20,Ushuaia,AR,53.26,scattered clouds,-54.8,-68.3,Albatross Hotel
21,Clinton,US,53.94,light intensity drizzle,42.587,-82.9199,River's Edge
22,Atuona,PF,78.53,clear sky,-9.8,-139.0333,Villa Enata
23,Presidente Epitacio,BR,87.8,moderate rain,-21.7633,-52.1156,Hotel Itaverá
25,Lebu,CL,65.39,clear sky,-37.6167,-73.65,Hostal Las Lilas
27,Airai,TL,59.85,overcast clouds,-8.9266,125.4092,
28,Marsaxlokk,MT,58.08,clear sky,35.8419,14.5431,Water's Edge
29,Poum,NC,81.27,few clouds,-20.2333,164.0167,
30,Rondonopolis,BR,85.21,moderate rain,-16.4708,-54.6356,Serras Hotel
31,Coari,BR,83.03,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
34,Muros,ES,57.83,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
37,Cortes,ES,57.6,clear sky,41.9395,-1.4396,Rincon de bu
