City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,AU,-42.7826,147.0587,55.71,72,61,2.75,broken clouds
1,Kutum,SD,14.2,24.6667,63.63,8,16,8.99,few clouds
2,Puerto Escondido,MX,15.85,-97.0667,86.83,70,0,8.05,clear sky
3,Thompson,CA,55.7435,-97.8558,-5.64,54,0,14.97,clear sky
4,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,86,99,12.3,overcast clouds
5,Alofi,NU,-19.0595,-169.9187,75.09,94,100,5.75,light intensity shower rain
6,Kodiak,US,57.79,-152.4072,40.51,87,100,0.0,overcast clouds
7,Berlevag,NO,70.8578,29.0864,24.75,80,75,14.97,broken clouds
8,Teahupoo,PF,-17.8333,-149.2667,78.76,72,6,10.29,clear sky
9,Saskylakh,RU,71.9167,114.0833,-0.51,95,100,5.1,overcast clouds
10,Payakumbuh,ID,-0.2202,100.6308,69.91,96,100,2.35,overcast clouds
11,Oranjemund,NA,-28.55,16.4333,64.13,82,0,8.01,clear sky
12,Ayan,RU,56.45,138.1667,2.68,81,31,8.14,scattered clouds
13,Avera,US,33.194,-82.5271,80.44,50,9,12.26,clear sky
14,Arraial Do Cabo,BR,-22.9661,-42.0278,82.26,69,40,16.11,thunderstorm
15,Taoudenni,ML,22.6783,-3.9836,84.15,7,100,12.03,overcast clouds
16,Vestmannaeyjar,IS,63.4427,-20.2734,33.04,76,99,19.46,light snow
17,Clyde River,CA,70.4692,-68.5914,-3.77,65,0,16.11,clear sky
18,Haines Junction,CA,60.7522,-137.5108,19.35,68,100,2.3,overcast clouds
19,Kapaa,US,22.0752,-159.319,76.12,76,75,13.8,broken clouds
20,Ushuaia,AR,-54.8,-68.3,53.26,66,40,23.02,scattered clouds
21,Clinton,US,42.587,-82.9199,53.94,95,100,5.75,light intensity drizzle
22,Atuona,PF,-9.8,-139.0333,78.53,74,3,18.43,clear sky
23,Presidente Epitacio,BR,-21.7633,-52.1156,87.8,57,89,2.17,moderate rain
24,Astana,KZ,51.1801,71.446,26.55,86,100,11.18,light snow
25,Lebu,CL,-37.6167,-73.65,65.39,64,1,15.05,clear sky
26,Henties Bay,NA,-22.116,14.2845,68.86,79,33,8.7,scattered clouds
27,Airai,TL,-8.9266,125.4092,59.85,98,100,1.97,overcast clouds
28,Marsaxlokk,MT,35.8419,14.5431,58.08,50,0,29.93,clear sky
29,Poum,NC,-20.2333,164.0167,81.27,79,16,15.41,few clouds
30,Rondonopolis,BR,-16.4708,-54.6356,85.21,70,16,0.98,moderate rain
31,Coari,BR,-4.085,-63.1414,83.03,78,88,3.71,overcast clouds
32,Rolla,US,37.9514,-91.7713,32.07,93,100,12.66,overcast clouds
