City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,kondinskoye,RU,2022-02-18 05:11:20,59.6481,67.41,19.87,88,100,10.71
1,sibolga,ID,2022-02-18 05:11:20,1.7427,98.7792,87.04,62,26,5.12
2,hami,CN,2022-02-18 05:11:21,42.8,93.45,23.85,30,2,2.06
3,grand-santi,GF,2022-02-18 05:11:21,4.25,-54.3833,71.17,100,99,0.92
4,xinqing,CN,2022-02-18 05:11:21,48.2333,129.5,14.11,71,100,1.01
5,faanui,PF,2022-02-18 05:11:22,-16.4833,-151.75,80.73,72,19,8.95
6,ushuaia,AR,2022-02-18 05:10:02,-54.8,-68.3,49.66,71,20,19.57
7,touros,BR,2022-02-18 05:11:22,-5.1989,-35.4608,77.9,77,19,7.38
8,lavrentiya,RU,2022-02-18 05:11:23,65.5833,-171.0,-5.26,90,100,15.32
9,carnarvon,AU,2022-02-18 05:11:06,-24.8667,113.6333,93.43,44,100,6.15
10,lagoa,PT,2022-02-18 05:11:23,39.05,-27.9833,50.11,61,100,21.77
11,ilulissat,GL,2022-02-18 05:11:24,69.2167,-51.1,-13.88,98,100,2.68
12,kruisfontein,ZA,2022-02-18 05:11:24,-34.0033,24.7314,60.85,80,0,4.85
13,abadan,IR,2022-02-18 05:11:24,30.3392,48.3043,55.35,26,66,2.93
14,ishigaki,JP,2022-02-18 05:11:25,24.3448,124.1572,68.86,87,95,29.06
15,cabo san lucas,MX,2022-02-18 05:11:02,22.8909,-109.9124,68.5,74,100,1.41
16,contamana,PE,2022-02-18 05:11:26,-7.3333,-75.0167,71.58,96,97,1.72
17,hermanus,ZA,2022-02-18 05:11:26,-34.4187,19.2345,65.8,82,5,14.32
18,gori,GE,2022-02-18 05:11:26,41.9842,44.1158,33.44,66,100,3.06
19,vaini,TO,2022-02-18 05:11:27,-21.2,-175.2,82.08,73,51,10.4
20,port moresby,PG,2022-02-18 05:11:27,-9.4431,147.1797,81.77,81,79,10.89
